Id,Tables,Join Conditions,Predicates,Cardinality
1,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,<,7,t.production_year,>,1971",765550
2,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,=,10269,ci.role_id,=,1",87
3,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,=,1983,ci.person_id,>,729091,ci.role_id,<,3",38084
4,cast_info ci,,"ci.person_id,<,642609,ci.role_id,>,4",882134
5,cast_info ci,,"ci.person_id,>,3553596",2630809
6,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,>,1,t.production_year,=,2009",92541
7,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,t.production_year,>,1907,mk.keyword_id,=,270",1413
8,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,mi.info_type_id,<,8",5898132
9,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,>,41",33669244
10,"title t,movie_companies mc",t.id=mc.movie_id,"t.production_year,>,2013,mc.company_id,<,11138,mc.company_type_id,>,1",513
11,movie_companies mc,,"mc.company_id,=,1468",33
12,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,>,2,ci.person_id,<,1323798,ci.role_id,>,1",2458010
13,cast_info ci,,"ci.person_id,=,97089,ci.role_id,>,1",41
14,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,7,ci.person_id,<,57396,ci.role_id,>,6",759389
15,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,<,1968,mc.company_id,<,1583,mc.company_type_id,=,2,mk.keyword_id,<,4720",98310
